月份	日期	活動	星數	狀態
2026年7月	7/1	年度首敲	20	已完成
2026年7月	7/15	社友聯誼	10	已完成
2026年7月	7/22	公益捐血	20	已完成
2026年8月	8/5	例會出席	5	已完成
2026年8月	8/12	專題演講	10	已完成
2026年8月	8/18	公益捐血	20	已完成
2026年8月	8/22	職業參訪	15	可參加
2026年8月	8/29	社區服務	20	可參加
2026年9月	9/5	扶輪基金講習	15	可參加
2026年9月	9/15	公益捐血	20	可參加
2026年9月	9/26	地區講習	20	規劃中
2026年10月	10/7	例會出席	5	規劃中
2026年10月	10/17	社區服務	20	規劃中
2026年10月	10/28	職業參訪	15	規劃中
2026年11月	11/4	例會出席	5	規劃中
2026年11月	11/14	扶輪基金活動	15	規劃中
2026年11月	11/25	專題演講	10	規劃中
2026年12月	12/2	例會出席	5	規劃中
2026年12月	12/12	社友聯誼	10	規劃中
2026年12月	12/23	年末服務活動	20	規劃中
2027年1月	1/6	新年例會	5	規劃中
2027年1月	1/16	社區服務	20	規劃中
2027年1月	1/27	職業分享	10	規劃中
2027年2月	2/3	例會出席	5	規劃中
2027年2月	2/13	眷屬聯誼	10	規劃中
2027年2月	2/24	地區講習	15	規劃中
2027年3月	3/3	例會出席	5	規劃中
2027年3月	3/13	公益服務	20	規劃中
2027年3月	3/24	扶輪知識分享	10	規劃中
2027年4月	4/7	例會出席	5	規劃中
2027年4月	4/17	聯誼活動	10	規劃中
2027年4月	4/28	服務成果分享	15	規劃中
2027年5月	5/5	例會出席	5	規劃中
2027年5月	5/15	年度成果活動	20	規劃中
2027年5月	5/26	地區活動參與	15	規劃中
2027年6月	6/2	年度回顧例會	5	規劃中
2027年6月	6/12	交接準備活動	10	規劃中
2027年6月	6/23	年度摘星總結	20	規劃中
